start,end,activity,time_of_the_day,ToiletDoor_1,Fridge_3,GroceriesCupboard_5,ToiletFlush_6,Frontdoor_7,PlatesCupboard_9,BedroomDoor_10,BedPressureRight_12,BedPressureLeft_13,CutleryDrawer_14,StoveLid_15,BedroomMovement_16,BedroomDresser_18,BathroomPIR_19,PianoSeatPressure_20,SinkFloat_21,ServerNookSeatPressure _22,BalconyDoor_24,KitchenWindow_25,Toaster_26,Microwave_27,KitchenPIR_28
24-Jul-2009 16:46:00,24-Jul-2009 16:46:59,leaveHouse,0.698611111111,1,0,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0
24-Jul-2009 16:47:00,24-Jul-2009 16:47:59,leaveHouse,0.699305555556,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0
24-Jul-2009 16:48:00,24-Jul-2009 16:48:59,leaveHouse,0.7,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0
24-Jul-2009 16:49:00,24-Jul-2009 16:49:59,leaveHouse,0.700694444444,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0
24-Jul-2009 16:50:00,24-Jul-2009 16:50:59,leaveHouse,0.701388888889,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0
24-Jul-2009 16:51:00,24-Jul-2009 16:51:59,leaveHouse,0.702083333333,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0
24-Jul-2009 16:52:00,24-Jul-2009 16:52:59,leaveHouse,0.702777777778,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0
24-Jul-2009 16:53:00,24-Jul-2009 16:53:59,leaveHouse,0.703472222222,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0
24-Jul-2009 16:54:00,24-Jul-2009 16:54:59,leaveHouse,0.704166666667,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0
24-Jul-2009 16:55:00,24-Jul-2009 16:55:59,leaveHouse,0.704861111111,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0
